included,Title,DOI,Abstract
0,Prevalence of genital Chlamydia trachomatis infections in Russia: systematic literature review and multicenter study,10.1093/femspd/ftx081,"A reliable overview of data on the prevalence of Chlamydia trachomatis (CT) in Russia is lacking and needed. All the available data on CT prevalence were analyzed in a systematic literature review on CT prevalence in Russia, strengthened with data from the multicenter study among 1263 people in the second-largest Russian megalopolis, St. Petersburg, testing for CT DNA in urethral, anal, cervical and prostate samples. A total of 10 articles met the inclusion criteria. The overall average prevalence of genital CT infections in Russian populations ranged from 2.9% to 33%. Risk factors included being symptomatic (P = 0.004; in men P < 0.001), being younger than 30 years (P = 0.001) and being a man who has sex with men (MSM) (P = 0.0084). Main limitations included the lack of studies in MSM. CT prevalence was higher in the groups where urethral and prostate secretion samples were pooled (5.2%-7.3% vs 3.2% in the urethra only). The data on CT prevalence in a range of Russian populations are analyzed and reported. Prostate secretions represent an additional sampling material for the study of CT infection in men. CT detection in some settings in St. Petersburg yielded levels of reliability comparable with internationally available tests. The initiation of screening programs for Chlamydia infections in Russia should be considered."
0,[Cytology in patients with chlamydial endocervicitis],,"A short review of the biological and epidemiological established causal role of human papillomavirus (HPV) in all types of cervical cancer most cancers of the vagina and anus of the cancer of the vulva, penis, and oropharynx, as and other types of cancer causally related to HPV such as skin cancer, melanoma and cancers of the conjunctiva exposure of other sexually transmissible infections (STD), such as Chlamydia trachomatis as co-factors that modify risk are required for transfer of cervical HPV infection to cancer. PURPOSE: By comparing changes in smears in Papanycolau /PAP/ patients with chlamydial and nehlamidialen endotservitsit to assess the involvement of Chlamydia trachomatis as a cofactor for the development of cancer. STUDY DESIGN: Prospective study results direct immunofluorescence study /DIF/ for Chlamydia trachomatis and results in PAP smears. MATERIALS AND METHODS: 708 patients were sexually active at the age of 16 to 65 years, classified by age 16 to 19, 20 to 29, 30 to 65, with a proven endotservitsit of gynecological examination, with studies made Chlamydia trachomatis /DIF/, a smear Pap. RESULTS AND DISCUSSION: There is no difference between the average values of cytology of patients in the PAP I and PAP II, positive Chl. trachomatis, ie., And that it is statistically insignificant. The number of patients with Chl. trachomatis, PAP II /positive/, more than the number of patients with Chlamydia trachomatis PAP I /positive/ Having inflammatory changes in smear of PAP II-82/65.6% compared with PAP I-36 pieces /28.8%/ shows that two thirds of patients positive for Chl.trachomatis, have cytology PAP II. Patients with PAP IV, IV-V are in the group of Chlamydia trachomatis /negative/. These are lacking in the group of Chlamydia trachomatis /positive/. Our results give us reason to conclude that Chlamydia trachomatis is not affected by co-factor prevalence of significant abnormalities in the cervical smear, but inflammatory changes in cytology may be the result of infection with C. trachomatis"
0,Serologic markers of Chlamydia trachomatis and other sexually transmitted infections and subsequent ovarian cancer risk: Results from the EPIC cohort,10.1002/ijc.32999,"A substantial proportion of epithelial ovarian cancer (EOC) arises in the fallopian tube and other epithelia of the upper genital tract; these epithelia may incur damage and neoplastic transformation after sexually transmitted infections (STI) and pelvic inflammatory disease. We investigated the hypothesis that past STI infection, particularly Chlamydia trachomatis, is associated with higher EOC risk in a nested case-control study within the European Prospective Investigation into Cancer and Nutrition (EPIC) cohort including 791 cases and 1669 matched controls. Serum antibodies against C. trachomatis, Mycoplasma genitalium, herpes simplex virus type 2 (HSV-2) and human papillomavirus (HPV) 16, 18 and 45 were assessed using multiplex fluorescent bead-based serology. Conditional logistic regression was used to estimate relative risks (RR) and 95% confidence intervals (CI) comparing women with positive vs. negative serology. A total of 40% of the study population was seropositive to at least one STI. Positive serology to C. trachomatis Pgp3 antibodies was not associated with EOC risk overall, but with higher risk of the mucinous histotype (RR = 2.30 [95% CI = 1.22-4.32]). Positive serology for chlamydia heat shock protein 60 (cHSP60-1) was associated with higher risk of EOC overall (1.36 [1.13-1.64]) and with the serous subtype (1.44 [1.12-1.85]). None of the other evaluated STIs were associated with EOC risk overall; however, HSV-2 was associated with higher risk of endometrioid EOC (2.35 [1.24-4.43]). The findings of our study suggest a potential role of C. trachomatis in the carcinogenesis of serous and mucinous EOC, while HSV-2 might promote the development of endometrioid disease."
0,Case of reactive sacroiliitis possibly induced by an mRNA coronavirus disease vaccine,10.1136/bcr-2022-249063,"A woman in her 30s received a second dose, first booster, Corminaty vaccine against the SARS-CoV-2. Three days later, the patient developed unilateral sacroiliitis. A pelvic scan revealed inflammatory joint edges, bone erosion and a heterogeneous mass of 2.5 cm in the psoas muscle. Joint puncture revealed no microcrystalline deposits, but bone marrow cells, erythroblast were identified. The standard bacterial cultures and culture for mycobacteria were negative. HLA B27 was negative, and no seroconversion was identified for HIV, Epstein-Barr virus, cytomegalovirus, chlamydia or Quantiferon. Two months later, the sacroiliitis resolved.The aetiologic approach of this erosive unilateral acute sacroiliitis in a person naïve to rheumatologic pathology was negative for inflammatory or infectious sacroiliitis. Arthralgias after vaccination are expected. Arthritis is less common, and acute sacroiliitis has not yet been described. Acute sacroiliitis may be considered a reactive sacroiliitis to the anti-COVID-19 mRNA vaccine."
0,Fitz-Hugh-Curtis Syndrome: A Diagnosis to Consider in a Woman with Right Upper Quadrant Abdominal Pain without Gallstones,10.12890/2017_000743,"A young woman presented with right upper quadrant abdominal pain exacerbated by movement and breathing. Extensive evaluation revealed no gallstones or any other specific cause. Urine polymerase chain reaction results for Chlamydia trachomatis were positive, so the clinical diagnosis of Fitz-Hugh-Curtis syndrome was confirmed. This type of localized peritonitis is thought to be a complication of an ascending genital infection leading to pelvic inflammatory disease. The diagnosis is established on clinical grounds after excluding alternative, more common conditions. Proper antibiotic treatment usually leads to recovery and prevents long-term complications. LEARNING POINTS: Right upper quadrant pain in a sexually active woman may be due to Fitz-Hugh-Curtis syndrome, a type of localized peritonitis also called perihepatitis.This condition is considered to be a complication of an ascending genital infection leading to pelvic inflammatory disease.Sexually active women with right upper quadrant abdominal pain without gallstones should be tested for Chlamydia trachomatis and Neisseria gonorrhoeae."
0,2020 Hong Kong College of Obstetricians and Gynaecologists guideline on investigations of premenopausal women with abnormal uterine bleeding,10.12809/hkmj208897,"Abnormal uterine bleeding in premenopausal women is a common gynaecological symptom and composes of abnormality in the frequency, duration, regularity, and flow volume of menstruation. It could constitute the presentation of various gynaecological malignancies. An appropriate history and physical examination are mandatory to ascertain the diagnosis. Depending on the clinical condition, a complete blood picture, thyroid function test, clotting profile, chlamydia test, cervical smear, and pregnancy test can be performed. Ultrasound should be performed in cases with a pelvic mass, unsatisfactory physical examination, persistent symptoms, or no response to medical treatment. In women aged ≥40 years, an out-patient endometrial biopsy with Pipelle should be performed. In women aged <40 years with risk factors for endometrial cancer, persistent symptoms, or no response to medical treatment, an endometrial biopsy should be performed to rule out endometrial cancer. Hysteroscopy or saline infusion sonohysterography is more sensitive than ultrasound for diagnosing endometrial pathology. Details of the above recommendations are presented."
1,Incidence of Pelvic Inflammatory Disease Associated With <i>Mycoplasma genitalium</i> Infection: Evidence Synthesis of Cohort Study Data,10.1093/cid/ciaa419,"Abstract             We synthesized evidence from the POPI sexual-health cohort study and estimated that 4.9% (95% credible interval, .4–14.1%) of Mycoplasma genitalium infections in women progress to pelvic inflammatory disease versus 14.4% (5.9–24.6%) of chlamydial infections. For validation, we predicted PID rates in 4 age groups that agree well with surveillance data."
0,Evaluation of Acute Pelvic Pain in Women.,,"Acute pelvic pain is defined as noncyclic, intense pain localized to the lower abdomen and/or pelvis, with a duration of less than three months. Signs and  symptoms are often nonspecific. The differential diagnosis is broad, based on the  patient's age and pregnancy status and gynecologic vs. nongynecologic etiology.  Nongynecologic etiologies include gastrointestinal, urinary, and musculoskeletal  conditions. Urgent gynecologic conditions include ectopic pregnancy, ruptured  ovarian cyst, adnexal torsion, and pelvic inflammatory disease. Approximately 40%  of ectopic pregnancies are misdiagnosed at the presenting visit. Urgent  nongynecologic conditions include appendicitis and pyelonephritis. Less urgent  etiologies include sexually transmitted infections, pelvic floor myofascial pain,  dysmenorrhea, and muscle strain. Approximately 15% of untreated chlamydia  infections lead to pelvic inflammatory disease. History and physical examination  findings guide laboratory testing. Questions should focus on the type, onset,  location, and radiation of pain; timing and duration of symptoms; aggravating and  relieving factors; and associated symptoms. Performing a urine pregnancy test or  beta human chorionic gonadotropin test is an important first step for sexually  active, premenopausal patients. Imaging options should be considered, with  transvaginal ultrasonography first, followed by computed tomography. Magnetic  resonance imaging can be useful if ultrasonography and computed tomography are  nondiagnostic."
0,Sexual health issues in adolescents and young adults,10.7861/clinmedicine.15-5-447,"Adolescence is a time of sexual risk-taking and experimentation but also vulnerability. Young people may present to general physicians with systemic symptoms of sexually transmitted infections (STIs), such as arthritis, hepatitis or rash, but may not necessarily volunteer information about sexual activity. It is important for physicians to ask directly about sexual risks and if appropriate test for STIs and pregnancy. Knowing how to take a sexual history and consent a patient for an HIV test are core medical skills that all physicians should be trained to competently perform. Safeguarding young people is the responsibility of all healthcare professionals who come into contact with them, and young victims of abuse may present with physical symptoms such as abdominal pain or deliberate self-harm. We must all be aware of indicators of both child sexual exploitation and HIV infection and not be afraid to ask potentially awkward questions. If we don't we may miss vital opportunities to prevent or minimise harm to young people."
0,Endocervical and vaginal microbiota in South African adolescents with asymptomatic Chlamydia trachomatis infection,10.1038/s41598-018-29320-x,"Adolescent girls and young women represent a key risk group for sexually transmitted infections (STIs). The vaginal microbiota is thought to play an important role in susceptibility to STIs such as Chlamydia trachomatis. We compared the microbiota of the lateral vaginal wall and endocervix, and assessed associations with C. trachomatis infection in South African adolescents. The endocervical and vaginal lateral wall microbiota were characterized by amplifying and sequencing the V4 region of the 16S rRNA gene and C. trachomatis diagnosed using molecular methods. Of the 72 girls included, 30 had asymptomatic C. trachomatis infections. Three major vaginal community types were identified; one Lactobacillus crispatus, one L. iners and one diverse, Gardnerella vaginalis dominant. The microbiota of the endocervix was significantly different from that of the lateral wall in terms of diversity. There were many differentially abundant taxa between the endocervix and lateral vaginal wall, including Achromobacter spanius and Enterococcus faecium. Women with C. trachomatis had higher relative abundance of G. vaginalis and other anaerobes. In this African adolescent cohort, significant differences between the lateral vaginal wall and endocervical microbiota diversity and composition were evident, although neither were strongly associated with C. trachomatis infection."
1,A retrospective cohort study examining STI testing and perinatal records demonstrates reproductive health burden of chlamydia and gonorrhea,10.1093/femspd/ftaa052,"Adverse reproductive health outcomes, such as pelvic inflammatory disease, ectopic pregnancy and tubal factor infertility, have been associated with Chlamydia trachomatis and Neisseria gonorrhoea infections. These reproductive health outcomes could be complemented by measuring subsequent pregnancies to assess impact on fertility. The study design was a cohort study of women in Queensland (QLD), Australia, using data linkage methods to link chlamydia and/or gonorrhea testing records (including an unexposed group undergoing full blood count tests; 2000 and 2005) with the QLD Perinatal Registry (2000-2013). The cohort included 132 962 women, with 69 533 records of pregnancies. Women in the exposed group, with no prior pregnancy, had a reduced odds of a pregnancy during the follow up of the study (20-year-old (at 2005) aOR 0.91 95% CI 0.87-0.95, and 25-year-old aOR 0.71 95% CI 0.68-0.75). Women in the exposed group with a prior pregnancy had increased odds of pregnancy during the follow up of the study (20-year-old (at 2005) aOR 1.72 95% CI 1.59-1.86, and 25-year-old aOR 1.35 95% CI 1.26-1.45). Our data provides further evidence at a population level of the significant impact on reproductive outcomes associated with chlamydia and gonorrhea."
0,Aerobic vaginitis: no longer a stranger,10.1016/j.resmic.2017.04.004,"Aerobic vaginitis (AV) is the name given in 2002 to a vaginal infectious entity which was not recognized as such before. It is characterized by abnormal (dysbiotic) vaginal microflora containing aerobic, enteric bacteria, variable levels of vaginal inflammation and deficient epithelial maturation. Although AV and bacterial vaginosis (BV) share some characteristics, such as a diminished number or absence of lactobacilli, increased discharge (fishy smelling in BV, while in severe forms of AV, a foul, rather rotten smell may be present) and increased pH (often more pronounced in AV), there are also striking differences between the two. There is no inflammation in women with BV, whereas the vagina of women with AV often appears red and edematous, and may even display small erosions or ulcerations. The color of the discharge in BV is usually whitish or gray and of a watery consistency, whereas in AV it is yellow to green and rather thick and mucoid. Women with BV do not have dyspareunia, while some women with severe AV do. Finally, the microscopic appearance differs in various aspects, such as the presence of leucocytes and parabasal or immature epithelial cells in AV and the absence of the granular aspect of the microflora, typical of BV. Despite all these differences, the distinction between AV and BV was not recognized in many former studies, leading to incomplete and imprecise diagnostic workouts and erroneous management of patients in both clinical and research settings. The prevalence of AV ranges between 7 and 12%, and is therefore less prevalent than BV. Although still largely undiagnosed, many researchers and clinicians increasingly take it into account as a cause of symptomatic vaginitis. AV can co-occur with other entities, such as BV and candidiasis. It can be associated with dyspareunia, sexually transmitted infections (such as human papilloma virus, human immunodeficiency virus, Trichomonas vaginalis and Chlamydia trachomatis), chorioamnionitis, fetal infection, preterm birth and cervical dysplasia. Many other possible pathological associations are currently under investigation. The diagnosis of AV is made using wet mount microscopy, ideally using phase contrast. An AV score is calculated, according to: lactobacillary grade, presence of inflammation, proportion of toxic leucocytes, characteristics of the microflora and presence of immature epithelial cells. To circumvent the hurdle of microscopic investigation, some groups have begun to develop nucleic-acid-based and enzymatic diagnostic tests, but the detailed information obtained with phase contrast microscopy is irreplaceable. The best treatment is not yet fully determined, but it must be tailored according to the microscopic findings and the patient's needs. There is a role for local estrogen therapy, corticosteroids, antimicrobials and probiotics. Further research will reveal more precise data on diagnosis, pathogenesis, management and prevention."
0,Correlation between cervical infection and preterm labor,10.17392/886-16,"Aim To investigate a correlation between cervical canal infection and imminent preterm labor and to identify most frequent pathogens. Methods A prospective study was conducted in obstetrics/gynecology departments of Health Center and the University Clinical Center Tuzla, and General Hospital Tešanj (Bosnia and Herzegovina, B&H) between October 2013 and May 2014. An examined group included 50 healthy pregnant women with singleton pregnancy of the gestation age between the 28th and 37th week, with cervical changes that are related to imminent preterm labor. Changes were detected by ultrasound biometry of cervix and modified Bishop score. A control group included 30 healthy pregnant women with singleton pregnancy of the gestation age between the 28th and 37th week of pregnancy without signs of imminent preterm labor. Cervical mucus was microbiologically analyzed for identification of pathogens. Results The infection in cervical canal was proven in 35 (70%) examinees and four (13%) patients from the control group (p=0.015). In seven (20%) cases each Ureaplasma and Mycoplasma were detected followed by E. coli in five (14%) cases (p=0.001). Conclusion Cervical canal infection is associated with changes on cervix and premature rupture of fetal membranes, i.e. preterm labor and imminent preterm labor. Screening for infection before pregnancy should be the main task of family doctors as well as gynecologists."
0,"Molecular investigation of menstrual tissue for the presence of Chlamydia trachomatis, Ureaplasma urealyticum and Mycoplasma hominis collected by women with a history of infertility",10.1111/jog.12165,"AIM: At present, routine laboratory investigation of the infectious agents implicated in female genital infections is mainly based on culture/direct fluorescence antibody (DFA) (immunofluorescence antibody test) results of cervicovaginal secretions. In this study the use of the menstrual tissue is introduced for the molecular detection of pathogens which are implicated in female infertility. MATERIAL AND METHODS: Cervicovaginal secretions and menstrual tissue samples of 87 women (mean age 34.07 ± 5.17) experiencing infertility problems were screened for Chlamydia trachomatis, Ureaplasma urealyticum and Mycoplasma hominis presence using polymerase chain reaction (PCR, light cycler-PCR). Cervicovaginal secretions were also tested by the culture/DFA technique. The results were compared using the binomial test. RESULTS: In the overall study group, the prevalence of C. trachomatis was 25.3%, 18.3%, and 13.8%, the prevalence of U. urealyticum was 18.3%, 16.09% and 12.6% and the prevalence of M. hominis was 13.7%, 19.5% and 8.0% in the menstrual tissue, cervicovaginal secretions using PCR and cervicovaginal secretions culture/DFA, respectively. A statistically significant difference was revealed between the two methods for all three microbes and between menstrual tissue and cervicovaginal secretions PCR for chlamydia. CONCLUSIONS: The use of menstrual tissue along with the PCR method seems to be an effective and thus novel alternative for the investigation of the infectious agents lying in the genital tract. One of the main advantages of this technique compared to cervicovaginal secretions is that it is non-invasive and the sample can be collected at home, thus allowing the early detection and treatment of a condition that can otherwise lead to serious consequences, such as tubal obstruction, pelvic inflammatory disease, ectopic pregnancy, spontaneous abortions and unexplained infertility."
0,Influence of co-infection complicated with human papillomavirus on cervical intraepithelial neoplasia development in patients with atypical squamous cells of undetermined significance,10.1016/j.jiac.2017.08.008,"AIM: Human papillomaviruses (HPV) infection is a primary cause of the development of cervical precancerous lesions and cervical cancer. However, the influence of other infections on intraepithelial neoplasia (CIN) development has not been fully elucidated. We evaluated the association between co-infection and CIN development in subjects with atypical squamous cells of undetermined significance (ASCUS). METHOD: Data for ASCUS subjects who had undergone testing for high risk HPV (HR-HPV) and pathological diagnosis were analyzed. From the CIN grade, HR-HPV and vaginal infection (VI) data, both the relationship between HPV infection and CIN development and the influence of co-infection on CIN were retrospectively evaluated. RESULTS: Data for 56 ASCUS subjects who had undergone HR-HPV testing and cytological diagnosis were analyzed. Positive rates were HPV (73.2%), HPV16 (21.4%), HPV18 (7.1%), and HPV16 and/or 18 (26.8%). Seventeen of the subjects were diagnosed as having one or more VI pathogen; the major pathogens found were Candida spp., Gardnerella vaginalis, group B streptococcus, coagulase negative Staphylococcus, and Chlamydia trachomatis. The rate of CIN 2 or worse (≥CIN 2) was significantly higher in subjects positive for HPV16 compared with HPV negative subjects, and was significantly higher in subjects with a VI complicated with HPV compared to those without a VI. Univariate and multivariate logistic regression analysis identified positive for HPV16 and/or 18 and positive for VI to be significant variables for ≥ CIN 2. CONCLUSION: Our results indicate that having a vaginal infection complicated with HR-HPV affects the development of CIN in subjects with ASCUS cytology."
0,Molecular etiopathology of naturally occurring reproductive diseases in female goats,10.14202/vetworld.2017.964-972,"AIM: The aim of the present study was to investigate the molecular etiopathology of occurrence of reproductive diseases in female goats. Reproductive diseases in goats account for major economic losses to goat farmers in terms of valuable loss of offspring and animal productivity. MATERIALS AND METHODS: A total of 660 female genitalia were examined for pathological conditions (macroscopic and microscopic lesions). The etiopathological study was carried out for the presence of pathogenic organisms such as Brucella, Chlamydia, and Campylobacter in the uterus and ovary. Based on the microscopic lesions, suspected samples were subjected to diagnostic polymerase chain reaction (PCR) for various etiological agents employing 16srRNA genus specific primers for Campylobacter and Chlamydophila and OMP31 gene-based PCR for Brucella melitensis and nested PCR using ITS-1 gene primers for Toxoplasma gondii. For Brucella suspected samples, immunohistochemistry (IHC) was also performed. RESULTS: In studied female genitalia, 108 (16.30%) showed gross abnormalities with overall 23.32% occurrence of pathological conditions (macroscopic and microscopic lesions). Pathological involvement of the uterus was the highest 68 (62.96%), followed by the ovaries 27 (25%) and other organs. Major uterine condition observed was endometritis (5.60%). In uterine infections, 35 (5.30%) samples were found positive for Campylobacter spp., 12 (1.81%) samples for B. melitensis, and 3 (0.45%) samples were positive for Chlamydophila spp. Among the samples positive for B. melitensis by PCR, 3 were found positive by IHC also. Corynebacterium ovis was detected by PCR using specific primers in a case of hydrosalpinx. It was concluded that many pathological lesions in female genitalia of functional significance play a major role in infertility in goats. CONCLUSION: The present study concluded that many pathological lesions in female genitalia of functional significance play a major role in infertility in goats."
